,problem1,problem2,problem3,problem4,test
Expanded Nodes,126.0,1705.0,2093.0,159402.0,465.0
Grounding Time,30.7 +/- 5.01,39.83 +/- 4.87,45.37 +/- 10.36,51.9 +/- 5.43,40.93 +/- 10.77
Heuristic Time (msec),35.3 +/- 4.73,199.03 +/- 13.79,255.73 +/- 42.17,16238.27 +/- 380.62,63.03 +/- 9.95
Metric (Search),47.0,80.0,91.0,168.0,60.0
Number of Dead-Ends detected,0.0,0.0,3.0,16.0,1.0
Number of Duplicates detected,101.0,2026.0,2487.0,292480.0,464.0
Planning Time (msec),336.47 +/- 28.08,549.87 +/- 24.1,673.53 +/- 121.39,18769.33 +/- 430.91,447.67 +/- 74.51
Search Time (msec),63.2 +/- 5.7,273.33 +/- 16.65,354.03 +/- 64.99,18453.6 +/- 425.67,102.03 +/- 16.14
States Evaluated,507.0,8342.0,10237.0,796405.0,1334.0
|A|,36.0,47.0,47.0,71.0,22.0
|E|,9.0,10.0,10.0,14.0,8.0
|F|,32.0,46.0,46.0,78.0,30.0
|P|,6.0,7.0,7.0,11.0,7.0
|X|,6.0,5.0,5.0,5.0,6.0
